game,achievement,description,achieved,unlocktime
Left 4 Dead 2,VIOLENCE IN SILENCE,Navigate the impound lot and reach the cemetery safe room without tripping any alarms.,False,null
Left 4 Dead 2,GUARDIN' GNOME,Rescue Gnome Chompski from the Carnival.,False,null
Left 4 Dead 2,SOB STORY,Navigate the sugar mill and reach the safe room without killing any Witches.,False,null
Left 4 Dead 2,WING AND A PRAYER,Defend yourself at the crashed airliner without taking damage.,False,null
Left 4 Dead 2,QUALIFIED RIDE,"As the Jockey, ride a Survivor for more than 12 seconds.",False,null
Left 4 Dead 2,BACK IN THE SADDLE,"As the Jockey, ride the Survivors twice in a single life.",False,null
Left 4 Dead 2,"RODE HARD, PUT AWAY WET","As the Jockey, ride a Survivor and steer them into a Spitter's acid patch.",False,null
Left 4 Dead 2,GREAT EXPECTORATIONS,"As the Spitter, hit every Survivor with a single acid patch.",False,null
Left 4 Dead 2,A SPITTLE HELP FROM MY FRIENDS,"As the Spitter, spit on a Survivor being choked by a Smoker.",False,null
Left 4 Dead 2,SCATTERING RAM,"As the Charger, bowl through the entire enemy team in a single charge.",False,null
Left 4 Dead 2,MEAT TENDERIZER,"As the Charger, grab a Survivor and smash them into the ground for a solid 15 seconds.",False,null
Left 4 Dead 2,LONG DISTANCE CARRIER,"As the Charger, grab a Survivor and carry them over 80 feet.",False,null
Left 4 Dead 2,BEAT THE RUSH,"In a Survival round, get a medal only using melee weapons.",False,null
Left 4 Dead 2,HUNTING PARTY,Win a game of Scavenge.,True,2021-05-01 00:24:59
Left 4 Dead 2,GAS GUZZLER,Collect 100 gas cans in Scavenge.,False,null
Left 4 Dead 2,CACHE AND CARRY,Collect 15 gas cans in a single Scavenge round.,False,null
Left 4 Dead 2,SCAVENGE HUNT,Stop the enemy team from collecting any gas cans during a Scavenge round.,False,null
Left 4 Dead 2,GONG SHOW,Prove you are stronger than Moustachio.,False,null
Left 4 Dead 2,FUEL CRISIS,Make a Survivor drop a gas can during overtime.,False,null
Left 4 Dead 2,GAS SHORTAGE,Cause 25 gas can drops as a Special Infected.,False,null
Left 4 Dead 2,STACHE WHACKER,Prove you are faster than Moustachio.,False,null
Left 4 Dead 2,TORCH BEARER,Survive The Passing Campaign.,False,null
Left 4 Dead 2,WEDDING CRASHER,"As the Charger, grab a Survivor and crash them through 8 chairs at the wedding.",False,null
Left 4 Dead 2,TIL IT GOES CLICK,"Using the M60, kill 25 infected without letting go of the trigger.",False,null
Left 4 Dead 2,GRAVE ROBBER,Collect 10 items dropped by a Fallen Survivor.,False,null
Left 4 Dead 2,MUTANT OVERLORD,Play 6 Mutations.,False,null
Left 4 Dead 2,FORE!,Knock off the heads of 18 infected with the golf club.,False,null
Left 4 Dead 2,KILLING THEM SWIFTLY TO THIS SONG,Play the new Midnight Riders song on a jukebox.,False,null
Left 4 Dead 2,KITE LIKE A MAN,Kill a Tank only with damage from the original Survivors.,False,null
Left 4 Dead 2,CACHE GRAB,Open 5 foot lockers.,False,null
Left 4 Dead 2,PORT OF SCAVENGE,Play 5 full games of Scavenge on The Port.,False,null
Left 4 Dead 2,SUPREME SACRIFICE,"Complete ""The Sacrifice"".",False,null
Left 4 Dead 2,KILL BILL,Have Bill sacrifice himself for the team.,False,null
Left 4 Dead 2,BARREL ROLLED,Kill a Special Infected with an exploding barrel.,False,null
Left 4 Dead 2,CHAOS GENERATOR,"Have all 3 generators running at once in ""The Sacrifice"" finale.",False,null
Left 4 Dead 2,SACRIFIZZLE,"As a Special Infected, incap someone who is trying to sacrifice themselves.",False,null
Left 4 Dead 2,STREAM CROSSER,Survive the Cold Stream campaign on any difficulty.,False,null
Left 4 Dead 2,CONNECTING FIGHTS,Play a Versus game on Dead Air from start to finish.,False,null
Left 4 Dead 2,Valve Gift Grab 2011 – L4D2,Collect three gifts dropped by Special Infected in Versus Mode.,False,null
Left 4 Dead 2,GOOD GUY NICK,Plays games with free weekend players and helps them survive a campaign.,False,null
Left 4 Dead 2,GHOST OF CHRISTMAS PRESENT,Spread cheer by helping a free holiday player survive a campaign.,False,null
Left 4 Dead 2,GETTING STARTED,Earn a bronze medal on any official Survival map.,False,null
Left 4 Dead 2,ON OUR WAY,Earn a silver medal on any official survival map.,False,null
Left 4 Dead 2,THIS IS WHERE THE FUN BEGINS,Earn a gold medal on any official survival map.,False,null
Left 4 Dead 2,STILL STANDING,Survive The Last Stand campaign on any difficulty.,False,null
Left 4 Dead 2,THE LAST FRONTIER,Survive The Last Stand campaign on Expert Realism.,False,null
Left 4 Dead 2,GOLDEN FREEMAN,Find the golden crowbars hidden in the Left 4 Dead 1 survival maps.,False,null
Left 4 Dead 2,ELEPHANT IN THE ROOM,Revive an incapacitated teammate while a Tank is nearby.,True,2020-09-27 16:59:37
Left 4 Dead 2,I SPIT ON YOUR GRAVE,"As the Spitter, spit on a Survivor who is pinned by a Charger.",False,null
Left 4 Dead 2,ACID BATH,"As the Spitter, spit on a Survivor who is pinned by a Hunter.",False,null
Left 4 Dead 2,SPITFIRE,Destroy 20 gascans as the Spitter.,False,null
Left 4 Dead 2,FLIGHT DECK,Instantly kill a Survivor as the Charger.,False,null
Left 4 Dead 2,FAT NINJA,"As the Boomer, vomit on a Survivor without having direct line of sight with them.",False,null
Left 4 Dead 2,THREE’S A CROWD,Rescue three Survivors from a single rescue closet.,False,null
Left 4 Dead 2,LICKETY-SPLIT,"With a sharp melee weapon, cut a Smoker's tongue before he ensnares you.",False,null
Left 4 Dead 2,GET SKEETED ON,Kill a pouncing Hunter with a shotgun.,False,null
Left 4 Dead 2,ROCKY HORROR PICTURE THROW,Destroy a Tank's rock in mid-air.,False,null
Left 4 Dead 2,SHOTGUN WEDDING,Kill the Witch bride with a single shotgun blast on expert difficulty.,False,null
Left 4 Dead 2,ONE HIT WONDER,"As the Hunter, land a 25 damage pounce.",False,null
Left 4 Dead 2,PURE SATISFACTION,Kill 20 Jockeys with the shovel or pitchfork.,False,null
Left 4 Dead 2,THE BIG TEN,Survive for 10 minutes on any official map in Versus Survival.,False,null
Left 4 Dead 2,Z-GENOCIDEST 2: EPISODE 2,"Kill 53,599 infected. You made sure the dead won't rise anymore!",False,null
Left 4 Dead 2,POLE POSITION,Escape Liberty Mall's Atrium before the first Tank appears,False,null
Left 4 Dead 2,HOUSEHOLD NAMES,Discover the hidden room in the Last Stand campaign,False,null
Left 4 Dead 2,A LITTLE HACK AND SLASH,Earn a bronze medal on every official survival map,False,null
Left 4 Dead 2,LIKE LAMBS TO THE SLAUGHTER,Earn a silver medal on every official survival map.,False,null
Left 4 Dead 2,KILLING SPREE,Earn a gold medal on every official survival map.,False,null
Left 4 Dead 2,SUPREME SURVIVALIST,Survive for 30 minutes on any official survival map.,False,null
Left 4 Dead 2,NEW HAIRCUT,"Kill a Witch using only a sharp melee weapon, without anyone getting incapacitated or killed.",False,null
Left 4 Dead 2,THE MAIN ATTRACTION,"On the concert finale, survive until the helicopter arrives without leaving the stage",False,null
Left 4 Dead 2,THE LAST DASH,"Complete The Last Stand campaign in 13 minutes or less, without any Survivors dying.",False,null
Left 4 Dead 2,GNOME ALONE,"If you are reading this achievement, Gabe Newell has successfully launched Gnome Chompski into space.",True,2021-04-30 21:26:25
Portal 2,Wake Up Call,Survive the manual override,False,null
Portal 2,You Monster,Reunite with GLaDOS,False,null
Portal 2,Undiscouraged,Complete the first Thermal Discouragement Beam test,False,null
Portal 2,Bridge Over Troubling Water,Complete the first Hard Light Bridge test,False,null
Portal 2,SaBOTour,Make a break for it,False,null
Portal 2,Stalemate Associate,Press the button!,False,null
Portal 2,Tater Tote,Carry science forward,False,null
Portal 2,Vertically Unchallenged,Master the Repulsion Gel,False,null
Portal 2,Stranger Than Friction,Master the Propulsion Gel,False,null
Portal 2,White Out,Complete the first Conversion Gel test,False,null
Portal 2,Tunnel of Funnel,Master the Excursion Funnel,False,null
Portal 2,Dual Pit Experiment,Do the same test twice,False,null
Portal 2,The Part Where He Kills You,This is that part,False,null
Portal 2,Lunacy,That just happened,False,null
Portal 2,Drop Box,Place a cube on a button without touching the cube,False,null
Portal 2,Overclocker,Complete Test Chamber 10 in 70 seconds,False,null
Portal 2,Pit Boss,Show that pit who's boss,False,null
Portal 2,Preservation of Mass,Break the rules in Test Chamber 07,False,null
Portal 2,Pturretdactyl,Use an Aerial Faith Plate to launch a turret,False,null
Portal 2,Final Transmission,Find the hidden signal in one of the Rat Man's dens,False,null
Portal 2,Good Listener,Take GLaDOS' escape advice,False,null
Portal 2,Scanned Alone,Stand in a defective turret detector,False,null
Portal 2,No Hard Feelings,Save a turret from redemption,False,null
Portal 2,Schrodinger's Catch,Catch a blue-painted box before it touches the ground,False,null
Portal 2,Ship Overboard,Discover the missing experiment,False,null
Portal 2,Door Prize,Examine all the vitrified test chamber doors,False,null
Portal 2,Portrait of a Lady,Find a hidden portrait,False,null
Portal 2,You Made Your Point,Refuse to solve the first test in Chapter 8,False,null
Portal 2,Smash TV,Break 11 test chamber monitors,False,null
Portal 2,High Five,Celebrate your cooperative calibration success,True,2022-07-06 11:43:33
Portal 2,Team Building,Complete all test chambers in the Team Building co-op course,True,2022-07-06 12:05:15
Portal 2,Confidence Building,Complete all test chambers in the Mass and Velocity co-op course,True,2022-07-06 12:45:03
Portal 2,Bridge Building,Complete all test chambers in the Hard-Light Surfaces co-op course,True,2022-07-06 13:40:16
Portal 2,Obstacle Building,Complete all test chambers in the Excursion Funnels co-op course,True,2022-07-09 18:57:24
Portal 2,You Saved Science,Complete all test chambers in all courses of co-op,True,2022-07-09 20:47:43
Portal 2,Iron Grip,Never lose a cube in Chamber 6 of the Mass and Velocity co-op course,False,null
Portal 2,Gesticul-8,Perform all 8 gestures of your own volition in co-op,True,2022-07-09 18:27:25
Portal 2,Can't Touch This,Dance in front of a turret blocked by a hard light bridge in co-op,True,2022-07-06 13:17:33
Portal 2,Empty Gesture,Drop your co-op partner in goo while they are gesturing by removing the bridge under them,False,null
Portal 2,Party of Three,Find the hidden companion cube in co-op test chamber,False,null
Portal 2,Narbacular Drop,Place a portal under your co-op partner while they are gesturing,False,null
Portal 2,Professor Portal,"After completing co-op, complete Calibration Course online with a friend who hasn’t played before",False,null
Portal 2,Air Show,Perform 2 aerial gestures before touching the ground in co-op,True,2022-07-09 17:54:46
Portal 2,Portal Conservation Society,Complete Chamber 3 in the Hard-Light Surfaces co-op course using only 5 total portal placements,False,null
Portal 2,Four Ring Circus,Enter 4 different portals without touching the ground in co-op,False,null
Portal 2,Triple Crown,Solve 3 co-op chambers in the Mass and Velocity course in under 60 seconds each,False,null
Portal 2,Still Alive,Complete Course 4 with neither you nor your co-op partner dying,False,null
Portal 2,Asking for Trouble,Taunt GLaDOS in front of a camera in each of the five co-op courses,False,null
Portal 2,Rock Portal Scissors,Win 3 co-op games of rock-paper-scissors in a row,False,null
Portal 2,Friends List With Benefits,"While playing co-op, hug 3 different people on your friends list",False,null
Portal 2,Talent Show,Never lose a cube in Chamber 6 of the Mobility Gels co-op course,False,null
Terraria,Timber!!,Chop down your first tree.,True,2018-10-05 16:29:29
Terraria,No Hobo,"Build a house suitable enough for your first town NPC, such as the guide, to move into.",True,2018-10-05 16:44:02
Terraria,Stop! Hammer Time!,Obtain your first hammer via crafting or otherwise.,True,2018-10-05 16:37:01
Terraria,Ooo! Shiny!,Mine your first nugget of ore with a pickaxe.,True,2018-10-05 17:50:46
Terraria,Heart Breaker,Discover and smash your first heart crystal underground.,True,2018-10-05 17:55:37
Terraria,Heavy Metal,Obtain an anvil made from iron or lead.,True,2018-10-05 18:00:38
Terraria,I Am Loot!,Discover a golden chest underground and take a peek at its contents.,True,2018-10-05 20:15:03
Terraria,Star Power,"Craft a mana crystal out of fallen stars, and consume it.",True,2018-10-05 16:39:26
Terraria,Hold on Tight!,Equip your first grappling hook.,True,2018-10-11 20:09:02
Terraria,Eye on You,"Defeat the Eye of Cthulhu, an ocular menace who only appears at night.",True,2018-10-09 20:01:03
Terraria,"Smashing, Poppet!","Using explosives or your trusty hammer, smash a Shadow Orb or Crimson Heart in the evil parts of your world.",True,2018-10-11 20:12:24
Terraria,Worm Fodder,"Defeat the Eater of Worlds, a massive worm whom dwells in the corruption.",True,2018-10-14 15:27:08
Terraria,Mastermind,"Defeat the Brain of Cthulhu, an enourmous demon brain which haunts the creeping crimson.",True,2018-10-11 20:23:23
Terraria,Where's My Honey?,Discover a large bee's hive deep in the jungle.,True,2018-10-11 20:50:35
Terraria,Sting Operation,"Defeat the Queen Bee, the matriarch of the jungle hives.",True,2018-10-11 20:55:27
Terraria,Boned,"Defeat Skeletron, the cursed guardian of the dungeon.",True,2018-10-10 17:51:37
Terraria,Dungeon Heist,"Steal a key from the dungeon's undead denizens, and unlock one of their precious golden chests.",True,2018-10-10 17:55:47
Terraria,It's Getting Hot in Here,Spelunk deep enough to reach the molten underworld.,True,2018-10-13 12:18:04
Terraria,Miner for Fire,Craft a molten pickaxe using the hottest of materials.,True,2018-10-15 20:37:41
Terraria,Still Hungry,"Defeat the Wall of Flesh, the master and core of the world who arises after a great, burning sacrifice.",True,2018-10-17 18:07:32
Terraria,It's Hard!,"Unleash the ancient spirits of light and darkness across your world, enabling much stronger foes and showering the world with dazzling treasures (and rainbows!).",True,2018-10-05 20:31:17
Terraria,"Begone, Evil!","Smash a demon or crimson altar with a powerful, holy hammer.",True,2018-10-18 22:17:42
Terraria,Extra Shiny!,Mine a powerful ore that has been newly blessed upon your world.,True,2018-10-20 15:43:52
Terraria,Head in the Clouds,Equip a pair of wings.,True,2018-10-05 16:38:58
Terraria,Like a Boss,Obtain a boss-summoning item.,True,2018-10-08 18:31:08
Terraria,Buckets of Bolts,"Defeat the three nocturnal mechanical menaces: the Twins, the Destroyer, and Skeletron Prime.",True,2018-10-26 21:44:41
Terraria,Drax Attax,"Craft a drax or pickaxe axe using hallowed bars, and the souls of the three mechanical bosses.",True,2018-10-26 21:49:09
Terraria,Photosynthesis,"Mine chlorophyte, an organic ore found deep among the thickest of flora.",True,2018-10-26 23:27:18
Terraria,Get a Life,"Consume a life fruit, which grows in the thick of subterranean jungle grass.",True,2018-10-26 23:28:48
Terraria,The Great Southern Plantkill,"Defeat Plantera, the overgrown monstrosity of the jungle's depths.",True,2018-10-30 20:02:13
Terraria,Temple Raider,Breach the impenetrable walls of the jungle temple.,True,2018-10-31 18:43:57
Terraria,Lihzahrdian Idol,"Defeat Golem, the stone-faced ritualistic idol of the lihzahrd tribe.",True,2018-10-31 18:14:19
Terraria,Robbing the Grave,Obtain a rare treasure from a difficult monster in the dungeon.,True,2018-10-31 16:55:24
Terraria,Big Booty,"Unlock one of the dungeon's large, mysterious chests with a special key.",True,2018-10-31 16:27:23
Terraria,Fish Out of Water,"Defeat Duke Fishron, mutant terror of the sea.",True,2018-11-06 15:33:54
Terraria,Obsessive Devotion,"Defeat the Ancient Cultist, fanatical leader of the dungeon coven.",True,2018-11-16 19:40:03
Terraria,Star Destroyer,Defeat the four celestial towers of the moon.,True,2018-11-16 20:05:19
Terraria,Champion of Terraria,Defeat the Moon Lord.,True,2018-11-16 20:46:46
Terraria,Bloodbath,"Survive a blood moon, a nocturnal event where the rivers run red and monsters swarm aplenty.",True,2018-10-10 21:11:42
Terraria,Slippery Shinobi,"Defeat King Slime, the lord of all things slimy.",True,2018-10-10 18:14:01
Terraria,Goblin Punter,"Triumph over a goblin invasion, a ragtag regiment of crude, barbaric, pointy-eared warriors and their shadowflame sorcerers.",True,2018-10-11 20:58:59
Terraria,Walk the Plank,"Triumph over a pirate invasion, a group of pillagers from the sea out for your booty... and your life!",True,2018-10-20 18:27:46
Terraria,Kill the Sun,"Survive a solar eclipse, a day darker than night filled with creatures of horror.",True,2018-10-31 19:01:11
Terraria,Do You Want to Slay a Snowman?,"Triumph over the frost legion, a festive family of maniacal snowman mobsters.",True,2020-06-04 21:35:08
Terraria,Tin-Foil Hatter,"Triumph over a martian invasion, when beings from out of this world come to scramble your brains and probe you in uncomfortable places.",True,2018-11-04 11:24:45
Terraria,Baleful Harvest,"Reach the 15th wave of a pumpkin moon, where evil lurks among the autumn harvest.",True,2018-11-21 18:00:23
Terraria,Ice Scream,"Reach the 15th wave of a frost moon, where the festive season quickly degrades into madness.",True,2020-06-04 14:51:17
Terraria,Sticky Situation,"Survive the slime rain, where gelatinous organisms fall from the sky in droves.",True,2018-10-10 18:14:02
Terraria,Real Estate Agent,Have all possible town NPCs living in your world.,True,2020-06-05 15:11:39
Terraria,Not the Bees!,Fire a Bee Gun while wearing a full set of Bee Armor.,True,2020-05-30 12:22:36
Terraria,Jeepers Creepers,Stumble into a spider cavern in the underground.,True,2018-10-15 19:11:22
Terraria,Funkytown,Build or encounter a glowing mushroom field above the surface.,True,2018-10-20 16:05:55
Terraria,Into Orbit,You can only go down from here!,True,2018-10-28 13:24:05
Terraria,Rock Bottom,The only way is up!,True,2018-11-04 10:52:54
Terraria,Mecha Mayhem,"Do battle against the Twins, the Destroyer, and Skeletron Prime simultaneously and emerge victorious.",True,2023-11-19 12:36:43
Terraria,Gelatin World Tour,Defeat every type of slime there is!,True,2018-11-16 18:27:53
Terraria,Fashion Statement,Equip armor or vanity clothing in all three social slots.,True,2018-10-27 18:41:44
Terraria,Vehicular Manslaughter,Defeat an enemy by running it over with a minecart.,True,2018-10-19 22:07:33
Terraria,Bulldozer,"Destroy a total of 10,000 tiles.",True,2018-10-16 17:09:57
Terraria,There are Some Who Call Him...,Kill Tim.,True,2018-10-15 20:02:28
Terraria,Deceiver of Fools,Kill a nymph.,True,2018-10-10 18:36:48
Terraria,Sword of the Hero,"Obtain a Terra Blade, forged from the finest blades of light and darkness.",True,2018-10-09 20:24:45
Terraria,Lucky Break,Survive a long fall with just a sliver of health remaining.,True,2018-10-06 22:36:15
Terraria,Throwing Lines,Throw a yoyo.,True,2018-10-08 16:25:31
Terraria,Dye Hard,Equip a dye in every possible dye slot.,True,2020-05-12 23:06:10
Terraria,Sick Throw,Obtain the Terrarian.,True,2020-05-25 15:53:31
Terraria,The Frequent Flyer,Spend over 1 gold being treated by the nurse.,True,2023-11-14 14:42:04
Terraria,The Cavalry,Equip a mount.,True,2018-10-22 18:32:32
Terraria,Completely Awesome,Obtain a minishark.,True,2018-10-23 18:17:59
Terraria,Til Death...,Kill the groom.,True,2018-10-10 21:03:25
Terraria,Archaeologist,Kill Doctor Bones.,True,2020-04-24 17:40:27
Terraria,Pretty in Pink,Kill pinky.,True,2018-10-10 18:11:39
Terraria,Rainbows and Unicorns,Fire a rainbow gun while riding on a unicorn.,True,2020-05-13 19:02:27
Terraria,You and What Army?,Command nine summoned minions simultaneously.,True,2020-05-25 15:58:49
Terraria,Prismancer,Obtain a rainbow rod.,True,2023-11-19 19:45:17
Terraria,It Can Talk?!,Build a house in a mushroom biome and have the Truffle move in.,True,2020-06-05 14:52:21
Terraria,Watch Your Step!,Become a victim to a nasty underground trap.,True,2018-10-08 16:37:31
Terraria,Marathon Medalist,Travel a total of 26.2 miles on foot.,True,2018-10-12 18:42:20
Terraria,Glorious Golden Pole,Obtain a golden fishing rod.,True,2018-11-07 18:35:43
Terraria,Servant-in-Training,Complete your 1st quest for the angler.,True,2018-10-16 19:07:47
Terraria,Good Little Slave,Complete your 10th quest for the angler.,True,2018-10-23 19:46:02
Terraria,Trout Monkey,Complete your 25th quest for the angler.,True,2018-11-01 20:55:52
Terraria,Fast and Fishious,Complete your 50th quest for the angler.,True,2021-11-29 19:36:17
Terraria,Supreme Helper Minion!,Complete a grand total of 200 quests for the angler.,True,2023-11-22 12:42:16
Terraria,Topped Off,Attain maximum health and mana possible without accessories or buffs.,True,2019-04-18 13:06:25
Terraria,Slayer of Worlds,Defeat every boss in Terraria.,True,2018-11-16 20:46:46
Terraria,You Can Do It!,Survive your character's first full night.,True,2018-10-05 16:42:02
Terraria,Matching Attire,"Equip armor in all three armor slots: head, chest, and feet.",True,2018-10-05 16:34:11
Terraria,Benched,Craft your first work bench.,True,2020-05-18 15:24:58
Terraria,Fae Flayer,"Defeat the Empress of Light, responsible for all those flashy lights and glitter.",True,2023-11-17 15:59:14
Terraria,Just Desserts,"Defeat Queen Slime, giving the coup-de-grace to the sovereign of all that jiggles.",True,2021-12-07 12:42:55
Terraria,Don't Dread on Me,"Defeat the Dreadnautilus, murderous mollusk lurking beneath the surface of the sanguine seas.",True,2023-11-19 18:19:20
Terraria,Hero of Etheria,Repel the strongest forces the Old One's Army can muster.,True,2023-11-19 16:43:09
Terraria,Infinity +1 Sword,"Obtain the Zenith, the culmination of a journey forged into the ultimate sword.",True,2023-11-18 12:00:51
Terraria,Boots of the Hero,"Obtain the Terraspark Boots, forged from the finest boots of fire and ice.",True,2023-11-17 19:02:50
Terraria,A Rather Blustery Day,Fly a kite on a windy day.,True,2021-10-15 17:46:55
Terraria,Quiet Neighborhood,Enter a misty graveyard filled with the surly dead.,True,2021-10-14 23:20:25
Terraria,Hot Reels!,Drop a lure in a pool of lava for a pre-fried haul!,True,2023-11-17 14:45:35
Terraria,Heliophobia,Trick a gnome into turning into stone!,True,2023-11-19 14:01:58
Terraria,Leading Landlord,Meet with a tenant who's as happy as they possibly can be!,True,2021-11-15 17:22:04
Terraria,Feeling Petty,Deliver headpats to the town pet.,True,2021-11-15 17:20:11
Terraria,Hey! Listen!,Encounter a fairy.,True,2021-10-14 13:39:07
Terraria,Jolly Jamboree,"What you're celebrating doesn't matter, just throw a party already!",True,2021-10-20 17:18:11
Terraria,Dead Men Tell No Tales,You were so preoccupied with whether or not you could open the chest that you didn't stop to think if you should.,True,2023-11-15 22:35:15
Terraria,An Eye For An Eye,"Defeat Deerclops, the chilly one-eyed monstrosity from a foreign land.",True,2023-11-19 14:30:33
Terraria,Feast of Midas,"Obtain Golden Delight, the highest quality meal made from the highest quality . . . ingredients.",True,2023-11-19 13:22:12
Terraria,Unusual Survival Strategies,"Delay death from drowning by drinking water. It doesn't make much sense, but you did what you had to do.",True,2023-11-19 12:25:34
Terraria,Black Mirror,Obtain the Cell Phone. You'll never leave home without it again.,True,2023-11-17 18:00:18
Terraria,Ankhumulation Complete,"Obtain the Ankh Shield, the finest protection from unpleasant maladies and ailments.",True,2023-11-17 13:32:13
Terraria,Torch God,"Invoked the wrath of the God of Torches, and survived long enough to earn its blessing.",True,2023-11-19 12:33:34
Terraria,A Rare Realm,Some very special seeds can lead to unique and rewarding experiences. Can you find one?,True,2023-11-19 16:47:45
Terraria,The Great Slime Mitosis,Find all of the Slime Pets and have them move in!,True,2023-11-19 20:14:25
Terraria,A Shimmer In The Dark,Shimmer an item into another item. What other transmutations can you find?,True,2023-11-18 12:10:43
Terraria,And Good Riddance!,"Completely purify all Corruption, Crimson, and Hallow from your world, until the Dryad is satisfied!",True,2023-11-19 17:46:38
Terraria,To Infinity... and Beyond!,Fly a Kwad Racer into outer space.,True,2023-11-19 12:17:35
PAYDAY: The Heist,Diplomatic,Perform a hostage trade.,True,2022-06-27 22:01:16
PAYDAY: The Heist,Cheney?,Defeat a Bulldozer with a shotgun.,False,null
PAYDAY: The Heist,Intimidating,Get a Heavy SWAT to give up.,False,null
